Date,W/L,W-L,Rank,Attendance,Streak,Prev_W/L,Prev_W-L,Prev_Rank,Prev_Streak,Prev_IsOvertime,Winning_Rate,Day,Month
"Monday, Jun 13",L,30-34,4.0,41543.0,-1,W,30-33,4.0,2.0,0.0,0.47619047619047616,Monday,Jun
"Tuesday, Jun 14",L,30-35,4.0,41750.0,-2,L,30-34,4.0,-1.0,0.0,0.46875,Tuesday,Jun
"Wednesday, Jun 15",L,30-36,4.0,41811.0,-3,L,30-35,4.0,-2.0,0.0,0.46153846153846156,Wednesday,Jun
"Thursday, Jun 16",W,31-36,4.0,44183.0,1,L,30-36,4.0,-3.0,0.0,0.45454545454545453,Thursday,Jun
"Friday, Jun 17",L,31-37,4.0,44998.0,-1,W,31-36,4.0,1.0,0.0,0.4626865671641791,Friday,Jun
"Saturday, Jun 18",L,31-38,4.0,44112.0,-2,L,31-37,4.0,-1.0,1.0,0.45588235294117646,Saturday,Jun
"Sunday, Jun 19",L,31-39,4.0,45931.0,-3,L,31-38,4.0,-2.0,0.0,0.4492753623188406,Sunday,Jun
"Tuesday, Jun 21",L,31-40,4.0,14810.0,-4,L,31-39,4.0,-3.0,1.0,0.44285714285714284,Tuesday,Jun
"Wednesday, Jun 22",W,32-40,4.0,13586.0,1,L,31-40,4.0,-4.0,0.0,0.43661971830985913,Wednesday,Jun
"Friday, Jun 24",W,33-40,4.0,32668.0,2,W,32-40,4.0,1.0,0.0,0.4444444444444444,Friday,Jun
"Saturday, Jun 25",W,34-40,4.0,30085.0,3,W,33-40,4.0,2.0,0.0,0.4520547945205479,Saturday,Jun
"Sunday, Jun 26",L,34-41,4.0,30215.0,-1,W,34-40,4.0,3.0,0.0,0.4594594594594595,Sunday,Jun
"Tuesday, Jun 28",L,34-42,4.0,33819.0,-2,L,34-41,4.0,-1.0,0.0,0.4533333333333333,Tuesday,Jun
"Wednesday, Jun 29",W,35-42,4.0,26566.0,1,L,34-42,4.0,-2.0,0.0,0.4473684210526316,Wednesday,Jun
"Thursday, Jun 30",L,35-43,4.0,33029.0,-1,W,35-42,4.0,1.0,0.0,0.45454545454545453,Thursday,Jun
"Friday, Jul 1",L,35-44,4.0,42987.0,-2,L,35-43,4.0,-1.0,0.0,0.44871794871794873,Friday,Jul
"Saturday, Jul 2",L,35-45,4.0,40573.0,-3,L,35-44,4.0,-2.0,0.0,0.4430379746835443,Saturday,Jul
"Sunday, Jul 3",L,35-46,4.0,41148.0,-4,L,35-45,4.0,-3.0,0.0,0.4375,Sunday,Jul
"Monday, Jul 4",W,36-46,4.0,29174.0,1,L,35-46,4.0,-4.0,0.0,0.43209876543209874,Monday,Jul
"Tuesday, Jul 5",W,37-46,4.0,25138.0,2,W,36-46,4.0,1.0,0.0,0.43902439024390244,Tuesday,Jul
"Wednesday, Jul 6",L,37-47,4.0,26330.0,-1,W,37-46,4.0,2.0,0.0,0.4457831325301205,Wednesday,Jul
"Friday, Jul 8",W,38-47,4.0,28343.0,1,L,37-47,4.0,-1.0,0.0,0.44047619047619047,Friday,Jul
"Saturday, Jul 9",L,38-48,4.0,37101.0,-1,W,38-47,4.0,1.0,1.0,0.4470588235294118,Saturday,Jul
"Sunday, Jul 10",L,38-49,4.0,42066.0,-2,L,38-48,4.0,-1.0,0.0,0.4418604651162791,Sunday,Jul
"Friday, Jul 15",L,38-50,4.0,30680.0,-3,L,38-49,4.0,-2.0,0.0,0.4367816091954023,Friday,Jul
"Saturday, Jul 16",W,39-50,4.0,31328.0,1,L,38-50,4.0,-3.0,0.0,0.4318181818181818,Saturday,Jul
"Sunday, Jul 17",L,39-51,4.0,23085.0,-1,W,39-50,4.0,1.0,0.0,0.43820224719101125,Sunday,Jul
"Tuesday, Jul 19",L,39-52,4.0,27106.0,-2,L,39-51,4.0,-1.0,1.0,0.43333333333333335,Tuesday,Jul
"Wednesday, Jul 20",W,40-52,4.0,36717.0,1,L,39-52,4.0,-2.0,1.0,0.42857142857142855,Wednesday,Jul
"Thursday, Jul 21",L,40-53,4.0,35978.0,-1,W,40-52,4.0,1.0,0.0,0.43478260869565216,Thursday,Jul
"Friday, Jul 22",L,40-54,4.0,42243.0,-2,L,40-53,4.0,-1.0,0.0,0.43010752688172044,Friday,Jul
"Saturday, Jul 23",W,41-54,4.0,44643.0,1,L,40-54,4.0,-2.0,0.0,0.425531914893617,Saturday,Jul
"Sunday, Jul 24",L,41-55,4.0,43310.0,-1,W,41-54,4.0,1.0,0.0,0.43157894736842106,Sunday,Jul
"Monday, Jul 25",W,42-55,4.0,25347.0,1,L,41-55,4.0,-1.0,0.0,0.4270833333333333,Monday,Jul
"Tuesday, Jul 26",W,43-55,4.0,24074.0,2,W,42-55,4.0,1.0,0.0,0.4329896907216495,Tuesday,Jul
"Wednesday, Jul 27",L,43-56,4.0,22581.0,-1,W,43-55,4.0,2.0,0.0,0.4387755102040816,Wednesday,Jul
"Thursday, Jul 28",W,44-56,4.0,33971.0,1,L,43-56,4.0,-1.0,0.0,0.43434343434343436,Thursday,Jul
"Friday, Jul 29",W,45-56,4.0,29442.0,2,W,44-56,4.0,1.0,0.0,0.44,Friday,Jul
"Saturday, Jul 30",W,46-56,4.0,36663.0,3,W,45-56,4.0,2.0,0.0,0.44554455445544555,Saturday,Jul
"Sunday, Jul 31",W,47-56,4.0,32405.0,4,W,46-56,4.0,3.0,0.0,0.45098039215686275,Sunday,Jul
"Monday, Aug 1",L,47-57,4.0,24009.0,-1,W,47-56,4.0,4.0,0.0,0.4563106796116505,Monday,Aug
"Tuesday, Aug 2",W,48-57,4.0,26152.0,1,L,47-57,4.0,-1.0,0.0,0.4519230769230769,Tuesday,Aug
"Wednesday, Aug 3",L,48-58,4.0,24124.0,-1,W,48-57,4.0,1.0,0.0,0.45714285714285713,Wednesday,Aug
"Friday, Aug 5",L,48-59,4.0,20008.0,-2,L,48-58,4.0,-1.0,0.0,0.4528301886792453,Friday,Aug
"Saturday, Aug 6",W,49-59,4.0,29370.0,1,L,48-59,4.0,-2.0,1.0,0.4485981308411215,Saturday,Aug
"Sunday, Aug 7",L,49-60,4.0,24021.0,-1,W,49-59,4.0,1.0,0.0,0.4537037037037037,Sunday,Aug
"Monday, Aug 8",L,49-61,4.0,20976.0,-2,L,49-60,4.0,-1.0,0.0,0.44954128440366975,Monday,Aug
"Tuesday, Aug 9",L,49-62,4.0,20048.0,-3,L,49-61,4.0,-2.0,0.0,0.44545454545454544,Tuesday,Aug
"Wednesday, Aug 10",W,50-62,4.0,20035.0,1,L,49-62,4.0,-3.0,0.0,0.44144144144144143,Wednesday,Aug
"Thursday, Aug 11",W,51-62,4.0,30167.0,2,W,50-62,4.0,1.0,0.0,0.44642857142857145,Thursday,Aug
"Friday, Aug 12",L,51-63,4.0,24553.0,-1,W,51-62,4.0,2.0,0.0,0.45132743362831856,Friday,Aug
"Saturday, Aug 13",L,51-64,4.0,30357.0,-2,L,51-63,4.0,-1.0,0.0,0.4473684210526316,Saturday,Aug
"Sunday, Aug 14",W,52-64,4.0,30103.0,1,L,51-64,4.0,-2.0,0.0,0.4434782608695652,Sunday,Aug
"Tuesday, Aug 16 (1)",L,52-65,4.0,41148.0,-1,W,52-64,4.0,1.0,0.0,0.4482758620689655,Tuesday,Aug
"Tuesday, Aug 16 (2)",L,52-66,4.0,39420.0,-2,L,52-65,4.0,-1.0,0.0,0.4444444444444444,Tuesday,Aug
"Wednesday, Aug 17",L,52-67,4.0,40310.0,-3,L,52-66,4.0,-2.0,0.0,0.4406779661016949,Wednesday,Aug
"Thursday, Aug 18",L,52-68,4.0,41407.0,-4,L,52-67,4.0,-3.0,0.0,0.4369747899159664,Thursday,Aug
"Friday, Aug 19",L,52-69,4.0,37758.0,-5,L,52-68,4.0,-4.0,0.0,0.43333333333333335,Friday,Aug
"Saturday, Aug 20",L,52-70,5.0,29170.0,-6,L,52-69,4.0,-5.0,0.0,0.4297520661157025,Saturday,Aug
"Sunday, Aug 21",W,53-70,4.0,35833.0,1,L,52-70,5.0,-6.0,0.0,0.4262295081967213,Sunday,Aug
"Monday, Aug 22",W,54-70,4.0,20458.0,2,W,53-70,4.0,1.0,0.0,0.43089430894308944,Monday,Aug
"Tuesday, Aug 23",W,55-70,4.0,21460.0,3,W,54-70,4.0,2.0,0.0,0.43548387096774194,Tuesday,Aug
"Wednesday, Aug 24",W,56-70,4.0,26702.0,4,W,55-70,4.0,3.0,0.0,0.44,Wednesday,Aug
"Thursday, Aug 25",L,56-71,4.0,20296.0,-1,W,56-70,4.0,4.0,0.0,0.4444444444444444,Thursday,Aug
"Friday, Aug 26",L,56-72,4.0,25474.0,-2,L,56-71,4.0,-1.0,0.0,0.4409448818897638,Friday,Aug
"Saturday, Aug 27",L,56-73,4.0,35925.0,-3,L,56-72,4.0,-2.0,0.0,0.4375,Saturday,Aug
"Sunday, Aug 28",L,56-74,4.0,37583.0,-4,L,56-73,4.0,-3.0,0.0,0.43410852713178294,Sunday,Aug
"Monday, Aug 29",L,56-75,4.0,18663.0,-5,L,56-74,4.0,-4.0,0.0,0.4307692307692308,Monday,Aug
"Tuesday, Aug 30",L,56-76,4.0,22918.0,-6,L,56-75,4.0,-5.0,0.0,0.42748091603053434,Tuesday,Aug
"Wednesday, Aug 31",W,57-76,4.0,17645.0,1,L,56-76,4.0,-6.0,0.0,0.42424242424242425,Wednesday,Aug
"Friday, Sep 2",W,58-76,4.0,21772.0,2,W,57-76,4.0,1.0,0.0,0.42857142857142855,Friday,Sep
"Saturday, Sep 3",W,59-76,4.0,26637.0,3,W,58-76,4.0,2.0,0.0,0.43283582089552236,Saturday,Sep
"Sunday, Sep 4",W,60-76,4.0,25318.0,4,W,59-76,4.0,3.0,0.0,0.43703703703703706,Sunday,Sep
"Monday, Sep 5",L,60-77,4.0,43662.0,-1,W,60-76,4.0,4.0,0.0,0.4411764705882353,Monday,Sep
"Tuesday, Sep 6",W,61-77,4.0,32888.0,1,L,60-77,4.0,-1.0,0.0,0.43795620437956206,Tuesday,Sep
"Wednesday, Sep 7",W,62-77,4.0,23832.0,2,W,61-77,4.0,1.0,0.0,0.4420289855072464,Wednesday,Sep
"Thursday, Sep 8",W,63-77,4.0,40416.0,3,W,62-77,4.0,2.0,0.0,0.4460431654676259,Thursday,Sep
"Friday, Sep 9",L,63-78,4.0,42647.0,-1,W,63-77,4.0,3.0,0.0,0.45,Friday,Sep
"Saturday, Sep 10",L,63-79,4.0,45440.0,-2,L,63-78,4.0,-1.0,0.0,0.44680851063829785,Saturday,Sep
"Sunday, Sep 11",W,64-79,4.0,44703.0,1,L,63-79,4.0,-2.0,0.0,0.44366197183098594,Sunday,Sep
"Monday, Sep 12",L,64-80,4.0,14671.0,-1,W,64-79,4.0,1.0,0.0,0.44755244755244755,Monday,Sep
"Tuesday, Sep 13",L,64-81,4.0,12926.0,-2,L,64-80,4.0,-1.0,0.0,0.4444444444444444,Tuesday,Sep
"Wednesday, Sep 14",W,65-81,4.0,14368.0,1,L,64-81,4.0,-2.0,0.0,0.4413793103448276,Wednesday,Sep
"Thursday, Sep 15",W,66-81,4.0,41362.0,2,W,65-81,4.0,1.0,0.0,0.4452054794520548,Thursday,Sep
"Friday, Sep 16",L,66-82,4.0,40823.0,-1,W,66-81,4.0,2.0,0.0,0.4489795918367347,Friday,Sep
"Saturday, Sep 17",W,67-82,4.0,40956.0,1,L,66-82,4.0,-1.0,1.0,0.44594594594594594,Saturday,Sep
"Sunday, Sep 18",W,68-82,4.0,41286.0,2,W,67-82,4.0,1.0,0.0,0.44966442953020136,Sunday,Sep
"Tuesday, Sep 20",L,68-83,4.0,20829.0,-1,W,68-82,4.0,2.0,0.0,0.4533333333333333,Tuesday,Sep
"Wednesday, Sep 21",L,68-84,4.0,25482.0,-2,L,68-83,4.0,-1.0,0.0,0.4503311258278146,Wednesday,Sep
"Thursday, Sep 22",W,69-84,4.0,24582.0,1,L,68-84,4.0,-2.0,0.0,0.4473684210526316,Thursday,Sep
"Friday, Sep 23",W,70-84,4.0,35364.0,2,W,69-84,4.0,1.0,0.0,0.45098039215686275,Friday,Sep
"Saturday, Sep 24",L,70-85,4.0,31398.0,-1,W,70-84,4.0,2.0,0.0,0.45454545454545453,Saturday,Sep
"Sunday, Sep 25",L,70-86,4.0,31776.0,-2,L,70-85,4.0,-1.0,0.0,0.45161290322580644,Sunday,Sep
"Monday, Sep 26",W,71-86,4.0,27263.0,1,L,70-86,4.0,-2.0,0.0,0.44871794871794873,Monday,Sep
"Tuesday, Sep 27",L,71-87,4.0,29668.0,-1,W,71-86,4.0,1.0,0.0,0.45222929936305734,Tuesday,Sep
"Wednesday, Sep 28",L,71-88,4.0,36619.0,-2,L,71-87,4.0,-1.0,0.0,0.44936708860759494,Wednesday,Sep
"Friday, Sep 30",L,71-89,4.0,41068.0,-3,L,71-88,4.0,-2.0,0.0,0.44654088050314467,Friday,Sep
"Saturday, Oct 1",W,72-89,4.0,32835.0,1,L,71-89,4.0,-3.0,0.0,0.44375,Saturday,Oct
"Sunday, Oct 2",W,73-89,4.0,27762.0,2,W,72-89,4.0,1.0,0.0,0.4472049689440994,Sunday,Oct
"Monday, Apr 3",L,0-1,2.0,43336.0,-1,,0-0,,,,,Monday,Apr
"Tuesday, Apr 4",L,0-2,5.0,21458.0,-2,L,0-1,2.0,-1.0,0.0,0.0,Tuesday,Apr
"Wednesday, Apr 5",W,1-2,4.0,21824.0,1,L,0-2,5.0,-2.0,0.0,0.0,Wednesday,Apr
"Thursday, Apr 6",L,1-3,4.0,23828.0,-1,W,1-2,4.0,1.0,0.0,0.3333333333333333,Thursday,Apr
"Friday, Apr 7",W,2-3,3.0,28728.0,1,L,1-3,4.0,-1.0,0.0,0.25,Friday,Apr
"Saturday, Apr 8",L,2-4,5.0,43080.0,-1,W,2-3,3.0,1.0,1.0,0.4,Saturday,Apr
"Sunday, Apr 9",L,2-5,5.0,38483.0,-2,L,2-4,5.0,-1.0,0.0,0.3333333333333333,Sunday,Apr
"Tuesday, Apr 11",W,3-5,4.0,48456.0,1,L,2-5,5.0,-2.0,0.0,0.2857142857142857,Tuesday,Apr
"Wednesday, Apr 12",W,4-5,3.0,29919.0,2,W,3-5,4.0,1.0,0.0,0.375,Wednesday,Apr
"Thursday, Apr 13",W,5-5,3.0,13574.0,3,W,4-5,3.0,2.0,0.0,0.4444444444444444,Thursday,Apr
"Friday, Apr 14",W,6-5,3.0,23850.0,4,W,5-5,3.0,3.0,0.0,0.5,Friday,Apr
"Saturday, Apr 15",L,6-6,3.0,31008.0,-1,W,6-5,3.0,4.0,0.0,0.5454545454545454,Saturday,Apr
"Sunday, Apr 16",W,7-6,2.0,12625.0,1,L,6-6,3.0,-1.0,0.0,0.5,Sunday,Apr
"Monday, Apr 17",W,8-6,2.0,38636.0,2,W,7-6,2.0,1.0,0.0,0.5384615384615384,Monday,Apr
"Tuesday, Apr 18",L,8-7,2.0,39026.0,-1,W,8-6,2.0,2.0,0.0,0.5714285714285714,Tuesday,Apr
"Wednesday, Apr 19",L,8-8,3.0,34864.0,-2,L,8-7,2.0,-1.0,0.0,0.5333333333333333,Wednesday,Apr
"Thursday, Apr 20",W,9-8,2.0,26451.0,1,L,8-8,3.0,-2.0,1.0,0.5,Thursday,Apr
"Friday, Apr 21",L,9-9,3.0,23126.0,-1,W,9-8,2.0,1.0,0.0,0.5294117647058824,Friday,Apr
"Saturday, Apr 22",L,9-10,3.0,30865.0,-2,L,9-9,3.0,-1.0,0.0,0.5,Saturday,Apr
"Sunday, Apr 23",L,9-11,4.0,31158.0,-3,L,9-10,3.0,-2.0,0.0,0.47368421052631576,Sunday,Apr
"Monday, Apr 24",W,10-11,3.0,23943.0,1,L,9-11,4.0,-3.0,0.0,0.45,Monday,Apr
"Tuesday, Apr 25",W,11-11,2.0,28449.0,2,W,10-11,3.0,1.0,0.0,0.47619047619047616,Tuesday,Apr
"Wednesday, Apr 26",W,12-11,2.0,19062.0,3,W,11-11,2.0,2.0,0.0,0.5,Wednesday,Apr
"Friday, Apr 28",L,12-12,3.0,26453.0,-1,W,12-11,2.0,3.0,0.0,0.5217391304347826,Friday,Apr
"Saturday, Apr 29",L,12-13,3.0,30026.0,-2,L,12-12,3.0,-1.0,0.0,0.5,Saturday,Apr
"Sunday, Apr 30",W,13-13,2.0,24395.0,1,L,12-13,3.0,-2.0,0.0,0.48,Sunday,Apr
"Monday, May 1",W,14-13,1.0,36339.0,2,W,13-13,2.0,1.0,0.0,0.5,Monday,May
"Tuesday, May 2",L,14-14,2.0,38616.0,-1,W,14-13,1.0,2.0,0.0,0.5185185185185185,Tuesday,May
"Thursday, May 4",W,15-14,2.0,36250.0,1,L,14-14,2.0,-1.0,0.0,0.5,Thursday,May
"Friday, May 5",L,15-15,3.0,21129.0,-1,W,15-14,2.0,1.0,0.0,0.5172413793103449,Friday,May
"Saturday, May 6",L,15-16,4.0,22902.0,-2,L,15-15,3.0,-1.0,0.0,0.5,Saturday,May
"Sunday, May 7",W,16-16,4.0,25108.0,1,L,15-16,4.0,-2.0,1.0,0.4838709677419355,Sunday,May
"Tuesday, May 9",W,17-16,3.0,22524.0,2,W,16-16,4.0,1.0,0.0,0.5,Tuesday,May
"Wednesday, May 10",W,18-16,3.0,23095.0,3,W,17-16,3.0,2.0,0.0,0.5151515151515151,Wednesday,May
"Thursday, May 11",L,18-17,3.0,26499.0,-1,W,18-16,3.0,3.0,0.0,0.5294117647058824,Thursday,May
"Friday, May 12",W,19-17,3.0,28306.0,1,L,18-17,3.0,-1.0,0.0,0.5142857142857142,Friday,May
"Saturday, May 13",W,20-17,2.0,33849.0,2,W,19-17,3.0,1.0,0.0,0.5277777777777778,Saturday,May
"Sunday, May 14",W,21-17,2.0,30623.0,3,W,20-17,2.0,2.0,0.0,0.5405405405405406,Sunday,May
"Monday, May 15",L,21-18,2.0,15866.0,-1,W,21-17,2.0,3.0,0.0,0.5526315789473685,Monday,May
"Tuesday, May 16",W,22-18,2.0,16657.0,1,L,21-18,2.0,-1.0,1.0,0.5384615384615384,Tuesday,May
"Wednesday, May 17",W,23-18,1.0,17356.0,2,W,22-18,2.0,1.0,0.0,0.55,Wednesday,May
"Thursday, May 18",W,24-18,1.0,14359.0,3,W,23-18,1.0,2.0,0.0,0.5609756097560976,Thursday,May
"Friday, May 19",W,25-18,1.0,36923.0,4,W,24-18,1.0,3.0,0.0,0.5714285714285714,Friday,May
"Sunday, May 21",L,25-19,1.0,41671.0,-1,W,25-18,1.0,4.0,0.0,0.5813953488372093,Sunday,May
"Tuesday, May 23",L,25-20,1.0,30742.0,-2,L,25-19,1.0,-1.0,0.0,0.5681818181818182,Tuesday,May
"Wednesday, May 24",L,25-21,1.0,26607.0,-3,L,25-20,1.0,-2.0,0.0,0.5555555555555556,Wednesday,May
"Thursday, May 25",L,25-22,2.0,30081.0,-4,L,25-21,1.0,-3.0,0.0,0.5434782608695652,Thursday,May
"Friday, May 26",L,25-23,2.0,25391.0,-5,L,25-22,2.0,-4.0,0.0,0.5319148936170213,Friday,May
"Saturday, May 27",W,26-23,1.0,29746.0,1,L,25-23,2.0,-5.0,0.0,0.5208333333333334,Saturday,May
"Sunday, May 28",W,27-23,1.0,41698.0,2,W,26-23,1.0,1.0,0.0,0.5306122448979592,Sunday,May
"Monday, May 29",L,27-24,1.0,34830.0,-1,W,27-23,1.0,2.0,0.0,0.54,Monday,May
"Tuesday, May 30",L,27-25,1.0,24457.0,-2,L,27-24,1.0,-1.0,0.0,0.5294117647058824,Tuesday,May
"Wednesday, May 31",W,28-25,1.0,26517.0,1,L,27-25,1.0,-2.0,1.0,0.5192307692307693,Wednesday,May
"Thursday, Jun 1",W,29-25,1.0,35123.0,2,W,28-25,1.0,1.0,0.0,0.5283018867924528,Thursday,Jun
